host_time_s,frame,t,dt,ia_mA,ib_mA,ic_mA,id_mA,iq_mA,vd_mV,vq_mV,theta_mrad,adc_a,adc_b,adc_c,flags,crc,pad
0.202761489,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.203309577,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.203857720,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.204405733,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.204953895,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.205503501,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.206052125,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.206600194,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.207148411,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.207691295,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.208239512,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.208787452,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.209330836,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.209878960,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.210427196,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.210975098,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.211523204,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.212071384,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.212619601,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.213167670,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.213716036,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.214264845,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.214813414,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.215362261,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.215909034,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.216457251,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.217004005,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.217552945,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.218101495,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.218650120,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.219198744,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.219745739,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.220293864,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.220858247,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.221408612,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.221957589,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.222504491,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.223052875,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.223601500,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.224150031,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.224698767,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.225246040,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.225794294,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.226342882,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.226891636,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.227440149,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.227987107,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.228535139,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.229084245,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.229632703,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.230181790,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.230728693,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.231277076,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.231825720,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.232374622,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.232923154,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.233470612,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.234018681,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.234567342,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.235116263,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.235664795,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.236211790,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.236759803,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.237308909,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.237857756,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.238406510,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.238953376,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.239501611,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.240050106,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.240598805,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.241147800,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.241694850,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.242242956,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.242791618,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.243340002,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.243888645,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.244435510,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.244983727,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.245532722,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.246081365,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.246629916,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.247176855,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.247725405,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.248273900,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.248822506,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.249371483,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.249918496,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.250466528,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.251015171,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.251563777,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.252112476,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
